city_id,city,country,date,latitude,longitude,temperature,max temperature,humidity,cloudiness,wind speed
0,Rikitea,PF,1609612366,-23.12,-134.97,77.85,77.85,69,0,10.4
1,Chui,UY,1609612599,-33.7,-53.46,73.29,73.29,49,0,11.34
2,College,US,1609612602,64.86,-147.8,-12.69,-11.99,69,75,3.13
3,Severo-Kuril'sk,RU,1609612603,50.68,156.12,25.57,25.57,94,100,30.89
4,Port Elizabeth,ZA,1609612604,-33.92,25.57,69.8,69.8,77,0,14.99
5,Kodinsk,RU,1609612520,58.69,99.18,-17.39,-17.39,86,100,4.25
6,Carnarvon,AU,1609612608,-24.87,113.63,77.0,77.0,88,0,16.11
7,Isangel,VU,1609612609,-19.55,169.27,79.93,79.93,82,100,14.09
8,Craig,US,1609612610,40.52,-107.55,9.55,14.0,84,90,6.93
9,Upernavik,GL,1609612611,72.79,-56.15,9.88,9.88,94,100,11.95
10,Katherine,AU,1609612612,-14.47,132.27,82.4,82.4,74,75,5.82
11,Albany,US,1609612614,42.6,-73.97,39.79,41.0,72,82,3.0
12,Kavaratti,IN,1609612515,10.57,72.64,81.3,81.3,65,0,5.95
13,Hilo,US,1609612466,19.73,-155.09,66.97,69.8,83,90,6.93
14,Bethel,US,1609612617,41.37,-73.41,48.07,48.99,61,20,16.11
15,Mataura,NZ,1609612618,-46.19,168.86,53.01,53.01,97,100,5.99
16,Provideniya,RU,1609612620,64.38,-173.3,7.59,7.59,91,96,20.11
17,Cherskiy,RU,1609612419,68.75,161.3,-27.89,-27.89,84,100,5.77
18,Busselton,AU,1609612623,-33.65,115.33,59.0,59.0,67,56,1.99
19,Adrar,MR,1609612624,20.5,-10.07,65.53,65.53,26,0,7.23
20,Neyshabur,IR,1609612626,36.21,58.8,35.92,35.92,56,0,1.32
21,Hong Kong,HK,1609612539,22.29,114.16,55.4,57.99,76,19,1.99
22,Kapaa,US,1609612362,22.08,-159.32,74.52,75.2,73,75,18.34
23,Sitka,US,1609612568,57.05,-135.33,42.8,42.8,60,90,11.41
24,Tura,IN,1609612630,25.52,90.22,57.58,57.58,79,23,3.02
25,Avarua,CK,1609612632,-21.21,-159.78,80.6,80.6,83,100,17.22
26,Cidreira,BR,1609612591,-30.18,-50.21,75.9,75.9,62,0,17.36
27,Faanui,PF,1609612634,-16.48,-151.75,79.84,79.84,77,1,17.07
28,Iquique,CL,1609612635,-20.22,-70.14,77.0,77.0,65,75,9.17
29,Egvekinot,RU,1609612636,66.32,-179.17,-10.55,-10.55,86,100,21.14
30,Arman',RU,1609612637,59.7,150.17,-4.36,-4.36,80,100,13.38
31,Lovozero,RU,1609612639,68.0,35.01,20.41,20.41,97,100,4.76
32,Bandarbeyla,SO,1609612640,9.49,50.81,73.6,73.6,76,7,17.81
33,Miguel Pereira,BR,1609612589,-22.45,-43.47,74.34,78.8,83,75,2.24
34,Saint-Philippe,RE,1609612642,-21.36,55.77,72.59,77.0,73,0,21.92
35,Vila Franca do Campo,PT,1609612643,37.72,-25.43,59.0,59.0,82,75,23.04
36,Ushuaia,AR,1609612646,-54.8,-68.3,62.6,62.6,20,40,31.09
37,Byron Bay,AU,1609612491,-28.65,153.62,67.93,69.8,88,38,1.74
38,Honningsvåg,NO,1609612648,70.98,25.97,28.98,28.98,93,84,10.89
39,Dunedin,NZ,1609612649,-45.87,170.5,55.6,55.6,94,100,5.28
40,Vaini,TO,1609612650,-21.2,-175.2,77.0,77.0,94,75,4.7
41,East London,ZA,1609612425,-33.02,27.91,69.8,69.8,73,0,14.99
42,Ostrovnoy,RU,1609612654,68.05,39.51,21.43,21.43,95,100,11.21
43,Karakol,KG,1609612656,42.49,78.39,17.69,17.69,67,1,6.51
44,Nanortalik,GL,1609612658,60.14,-45.24,29.7,29.7,97,100,10.29
45,Hobart,AU,1609612508,-42.88,147.33,54.63,55.99,87,100,0.2
46,Lakes Entrance,AU,1609612660,-37.88,147.98,64.0,64.0,92,100,1.01
47,Lavrentiya,RU,1609612661,65.58,-171.0,-3.19,-3.19,88,16,14.27
48,Puerto Ayora,EC,1609612662,-0.74,-90.35,79.63,82.4,65,0,9.17
49,Kahului,US,1609612459,20.89,-156.47,68.68,71.6,83,40,10.29
50,Lorengau,PG,1609612384,-2.02,147.27,82.54,82.54,76,100,6.6
51,Dryden,CA,1609612666,49.78,-92.75,21.2,21.2,100,90,12.75
52,Los Llanos de Aridane,ES,1609612667,28.66,-17.92,59.25,64.4,68,75,8.05
53,Uribia,CO,1609612668,11.71,-72.27,86.27,86.27,52,58,24.79
54,Alofi,NU,1609612669,-19.06,-169.92,75.2,75.2,100,100,1.12
55,Waingapu,ID,1609612671,-9.66,120.26,79.56,79.56,82,100,7.49
56,Maun,BW,1609612672,-19.98,23.42,75.06,75.06,73,100,13.2
57,Lüderitz,NA,1609612673,-26.65,15.16,68.0,68.0,64,100,10.98
58,Punta Arenas,CL,1609612674,-53.15,-70.92,60.39,60.8,41,20,46.08
59,Wanning,CN,1609612675,18.8,110.4,63.61,63.61,79,94,6.78
60,Shakawe,BW,1609612622,-18.37,21.85,73.13,73.13,84,100,4.65
61,Te Anau,NZ,1609612678,-45.42,167.72,50.58,50.58,91,94,0.43
62,Clyde River,CA,1609612679,70.47,-68.59,-22.0,-22.0,74,20,4.7
63,Iqaluit,CA,1609612680,63.75,-68.51,-16.29,-16.01,68,20,3.36
64,Hithadhoo,MV,1609612681,-0.6,73.08,82.8,82.8,76,25,10.8
65,Tasiilaq,GL,1609612682,65.61,-37.64,30.2,30.2,92,100,23.04
66,Butaritari,KI,1609612684,3.07,172.79,80.78,80.78,80,0,17.96
67,Pundaguitan,PH,1609612685,6.37,126.17,81.61,81.61,77,96,9.37
68,Ambilobe,MG,1609612686,-13.2,49.05,76.86,76.86,83,100,3.42
69,Serenje,ZM,1609612687,-13.23,30.24,60.93,60.93,99,100,3.15
70,Hermanus,ZA,1609612688,-34.42,19.23,68.0,68.0,71,0,4.0
71,Port Blair,IN,1609612690,11.67,92.75,78.28,78.28,81,99,10.69
72,Chengzhong,CN,1609612451,30.95,113.55,41.0,41.0,56,0,4.47
73,Garmsār,IR,1609612693,35.22,52.34,41.95,41.95,62,0,2.53
74,Vallenar,CL,1609612694,-28.57,-70.76,85.17,85.17,28,0,10.71
75,Salinas,US,1609612695,36.68,-121.66,53.1,55.4,71,90,16.11
76,Jiayuguan City,CN,1609612696,39.82,98.3,8.89,8.89,80,25,4.29
77,Cape Town,ZA,1609612425,-33.93,18.42,70.9,71.6,60,0,17.22
78,Padang,ID,1609612699,-0.95,100.35,77.0,77.0,94,40,2.24
79,Geraldton,AU,1609612700,-28.77,114.6,71.6,71.6,73,0,9.17
80,Pisco,PE,1609612702,-13.7,-76.22,74.68,75.2,73,40,9.17
81,Dhidhdhoo,MV,1609612704,6.88,73.1,81.55,81.55,75,97,9.1
82,Punta Alta,AR,1609612705,-38.88,-62.07,96.15,96.15,18,0,4.72
83,Leningradskiy,RU,1609612706,69.38,178.42,-16.55,-16.55,87,80,3.51
84,Khatanga,RU,1609612707,71.97,102.5,-14.98,-14.98,88,100,9.04
85,Bredasdorp,ZA,1609612708,-34.53,20.04,69.8,69.8,64,7,16.11
86,Yellowknife,CA,1609612552,62.46,-114.35,-27.4,-27.4,74,75,5.82
87,Esperance,AU,1609612712,-33.87,121.9,59.0,59.0,62,90,11.41
88,Hobyo,SO,1609612713,5.35,48.53,77.52,77.52,72,23,17.96
89,Hornepayne,CA,1609612714,49.21,-84.77,29.5,29.5,95,18,8.9
90,Norman Wells,CA,1609612717,65.28,-126.83,1.4,1.4,64,75,18.34
91,Naze,JP,1609612718,28.37,129.48,53.6,53.6,76,36,3.36
92,Tarrafal,CV,1609612719,15.28,-23.77,78.8,78.8,61,20,17.22
93,Jacareacanga,BR,1609612720,-6.22,-57.75,93.85,93.85,44,89,3.31
94,Saint-Joseph,RE,1609612722,-21.37,55.62,75.96,77.0,73,0,21.92
95,Barbastro,ES,1609612723,42.04,0.13,36.28,39.2,50,0,13.87
96,Grindavik,IS,1609612724,63.84,-22.43,42.8,42.8,100,90,16.11
97,Deyang,CN,1609612725,31.13,104.38,41.0,41.0,1,10,2.19
98,Port Alfred,ZA,1609612726,-33.59,26.89,71.01,71.01,83,4,10.0
99,Neepawa,CA,1609612727,50.23,-99.47,21.2,21.2,92,75,6.93
100,Opuwo,NA,1609612729,-18.06,13.84,70.47,70.47,63,84,8.37
101,Castro,BR,1609612730,-24.79,-50.01,74.66,74.66,70,2,0.78
102,Darnah,LY,1609612731,32.77,22.64,60.96,60.96,58,13,14.12
103,Ancud,CL,1609612732,-41.87,-73.82,70.81,75.99,53,0,8.05
104,Ribeira Grande,PT,1609612734,38.52,-28.7,60.8,60.8,93,75,34.45
105,Bluff,NZ,1609612735,-46.6,168.33,53.01,53.01,97,100,5.99
106,Ban Nahin,LA,1609612736,18.24,104.21,52.27,52.27,79,0,4.18
107,Bonavista,CA,1609612737,48.65,-53.11,30.2,30.2,58,3,5.82
108,Dongsheng,CN,1609612738,39.82,109.98,9.73,9.73,83,0,6.8
109,Jamestown,US,1609612740,42.1,-79.24,33.73,34.0,86,90,9.17
110,Airai,TL,1609612741,-8.93,125.41,61.84,61.84,100,86,1.28
111,Constitución,CL,1609612742,-35.33,-72.42,66.87,66.87,58,15,9.93
112,Suntar,RU,1609612743,62.14,117.63,-17.41,-17.41,86,100,10.09
113,Kralovice,CZ,1609612744,49.98,13.49,30.65,32.0,74,100,1.01
114,Sabha,LY,1609612746,27.04,14.43,62.38,62.38,44,0,7.76
115,Digha,IN,1609612747,21.68,87.55,65.98,65.98,37,99,3.83
116,Cosalá,MX,1609612748,24.41,-106.69,70.0,70.0,52,0,4.0
117,Laguna,US,1609612620,38.42,-121.42,50.9,53.01,81,90,4.7
118,Eenhana,NA,1609612750,-17.47,16.33,84.2,84.2,42,100,3.36
119,Narsaq,GL,1609612752,60.92,-46.05,32.0,32.0,96,75,2.24
120,Pacific Grove,US,1609612753,36.62,-121.92,54.12,55.4,62,90,1.1
121,Norsup,VU,1609612754,-16.07,167.38,81.43,81.43,76,100,5.26
122,Evensk,RU,1609612755,61.95,159.23,-5.06,-5.06,85,100,15.88
123,Kostomuksha,RU,1609612756,64.57,30.58,21.25,21.25,98,97,5.19
124,Gambēla,ET,1609612757,8.25,34.58,85.01,85.01,40,68,2.24
125,Brae,GB,1609612759,60.4,-1.35,37.4,37.4,93,11,11.41
126,Laas,IT,1609612760,46.62,10.7,31.57,34.0,92,90,4.41
127,Lagos,NG,1609612658,6.58,3.75,80.74,80.74,81,0,6.71
128,New Norfolk,AU,1609612762,-42.78,147.06,53.98,55.0,71,100,1.03
129,Sarangani,PH,1609612763,5.4,125.46,80.37,80.37,85,100,20.74
130,Kumul,CN,1609612765,42.8,93.45,14.02,14.02,83,8,2.57
131,Mar del Plata,AR,1609612767,-38.0,-57.56,91.4,91.4,36,0,9.17
132,Bengkulu,ID,1609612768,-3.8,102.27,76.01,76.01,87,99,3.89
133,Krasnosel'kup,RU,1609612769,65.7,82.47,-25.19,-25.19,85,88,11.01
134,Chokurdakh,RU,1609612771,70.63,147.92,-32.76,-32.76,84,0,4.72
135,Del Rio,US,1609612546,29.36,-100.9,52.83,53.6,46,1,8.05
136,Maroantsetra,MG,1609612773,-15.43,49.73,76.87,76.87,84,90,5.26
137,Saint Paul Harbor,US,1609612774,57.79,-152.41,32.0,32.0,98,90,17.22
138,Arinos,BR,1609612776,-15.92,-46.11,89.83,89.83,46,88,1.9
139,Goiatuba,BR,1609612777,-18.01,-49.35,80.89,80.89,61,2,4.34
140,Atuona,PF,1609612779,-9.8,-139.03,77.97,77.97,78,0,18.54
141,Saskylakh,RU,1609612780,71.92,114.08,-33.16,-33.16,82,66,7.47
142,Kilinochchi,LK,1609612782,9.4,80.4,76.87,76.87,90,0,9.46
143,Aloleng,PH,1609612783,16.13,119.78,77.23,77.23,71,0,7.94
144,Tuatapere,NZ,1609612784,-46.13,167.68,53.01,53.01,97,100,5.99
145,Thompson,CA,1609612785,55.74,-97.86,10.4,10.4,85,90,5.82
146,Lukovetskiy,RU,1609612786,64.3,41.92,24.8,24.8,92,90,8.95
147,Nikolskoye,RU,1609612787,59.7,30.79,32.9,33.8,96,90,4.47
148,Barra Patuca,HN,1609612789,15.8,-84.28,81.86,81.86,68,4,6.29
149,Cockburn Town,TC,1609612790,21.46,-71.14,80.6,80.6,57,40,17.22
150,Aubière,FR,1609612791,45.75,3.11,32.0,32.0,97,90,11.41
151,Moerai,PF,1609612792,-22.43,-151.33,78.96,78.96,77,3,13.62
152,Tuktoyaktuk,CA,1609612793,69.45,-133.04,-5.8,-5.8,83,75,11.41
153,Srandakan,ID,1609612558,-7.94,110.25,76.68,76.68,85,29,4.03
154,Mahébourg,MU,1609612796,-20.41,57.7,77.0,77.0,69,20,13.87
155,Moyobamba,PE,1609612798,-6.05,-76.97,78.21,78.21,74,30,2.44
156,Sibolga,ID,1609612799,1.74,98.78,76.24,76.24,79,100,3.53
157,La Seyne-sur-Mer,FR,1609612801,43.1,5.88,42.64,44.01,88,68,1.99
158,Dakar,SN,1609612802,14.69,-17.44,73.4,73.4,73,0,11.41
159,The Valley,AI,1609612803,18.22,-63.06,78.73,82.4,69,20,13.87
160,Buala,SB,1609612804,-8.14,159.59,80.98,80.98,76,81,5.28
161,Pevek,RU,1609612805,69.7,170.31,-10.89,-10.89,85,100,3.71
162,Morón,AR,1609612769,-34.65,-58.62,92.61,95.0,29,0,5.01
163,Vilcún,CL,1609612809,-38.65,-72.23,75.2,75.2,50,0,12.75
164,Port Macquarie,AU,1609612765,-31.43,152.92,68.0,68.0,100,75,5.21
165,São José da Coroa Grande,BR,1609612811,-8.9,-35.15,82.0,82.0,67,0,10.74
166,Rincon,US,1609612813,32.3,-81.24,69.73,71.6,88,90,9.17
167,Hasaki,JP,1609612814,35.73,140.83,27.09,28.4,74,40,5.82
168,Kaeo,NZ,1609612815,-35.1,173.78,62.01,62.01,97,61,0.25
169,Souillac,MU,1609612816,-20.52,57.52,77.0,77.0,69,20,13.87
170,Dikson,RU,1609612817,73.51,80.55,13.42,13.42,96,100,15.05
171,Bilma,NE,1609612819,18.69,12.92,70.41,70.41,21,0,4.9
172,Glenwood Springs,US,1609612820,39.55,-107.32,24.51,30.0,85,40,9.17
173,Uspantán,GT,1609612821,15.38,-90.83,72.37,75.2,49,20,6.93
174,Lugovoy,KZ,1609612822,42.95,72.76,9.72,9.72,80,0,2.73
175,Ternate,ID,1609612823,0.8,127.4,81.23,81.23,78,99,5.44
176,Luganville,VU,1609612826,-15.53,167.17,79.27,79.27,79,100,3.53
177,George Town,MY,1609612827,5.41,100.34,77.63,78.8,83,20,2.24
178,Mount Gambier,AU,1609612828,-37.83,140.77,59.0,59.0,100,90,6.93
179,San Patricio,US,1609612829,28.02,-97.52,58.24,60.01,62,1,6.93
180,Asău,RO,1609612831,46.43,26.4,30.99,30.99,65,19,3.09
181,Sterling,US,1609612576,39.01,-77.43,54.01,55.4,54,75,21.92
182,Sambava,MG,1609612835,-14.27,50.17,78.15,78.15,84,100,12.97
183,Tuy Hoa,VN,1609612836,13.08,109.3,69.26,69.26,91,100,10.89
184,Talnakh,RU,1609612644,69.49,88.4,-14.8,-14.8,75,90,17.9
185,Torbay,CA,1609612839,47.67,-52.73,27.61,28.99,63,75,9.17
186,Longyearbyen,SJ,1609612840,78.22,15.64,30.2,30.2,74,20,2.24
187,Maryville,US,1609612841,35.76,-83.97,59.49,61.0,67,40,4.7
188,Portland,US,1609612355,45.52,-122.68,47.93,50.0,81,90,14.99
189,Barcelona,ES,1609612812,41.39,2.16,43.88,46.99,51,0,4.7
190,Guayaramerín,BO,1609612845,-10.84,-65.36,91.4,91.4,52,40,3.36
191,Hauterive,FR,1609612846,46.09,3.45,32.0,32.0,96,90,11.41
192,Samarkand,UZ,1609612847,39.65,66.96,28.4,28.4,54,0,6.93
193,Mattru,SL,1609612848,7.62,-11.83,80.49,80.49,72,0,5.44
194,Darhan,MN,1609612849,49.49,105.92,-12.48,-12.48,86,100,1.88
195,Minsk,BY,1609612851,53.9,27.57,32.0,32.0,98,90,4.47
196,Barrow,US,1609612852,71.29,-156.79,-9.4,-9.4,69,75,9.17
197,Cayenne,GF,1609612678,4.93,-52.33,82.4,82.4,83,63,9.17
198,Katsuura,JP,1609612854,35.13,140.3,38.03,39.0,69,20,9.17
199,Sturgeon Falls,CA,1609612857,46.36,-79.93,28.6,30.99,73,75,4.7
200,Srikakulam,IN,1609612859,18.3,83.9,65.62,65.62,73,88,6.22
201,Usogorsk,RU,1609612860,63.41,48.69,9.07,9.07,94,100,9.4
202,Loreto,MX,1609612861,22.27,-101.97,61.07,61.07,29,0,5.59
203,Dingcheng,CN,1609612863,32.13,115.04,31.6,31.6,96,63,8.88
204,Sarany,RU,1609612864,58.5,58.88,-9.47,-9.47,91,100,11.61
205,Keti Bandar,PK,1609612865,24.14,67.45,60.35,60.35,29,0,8.12
206,Ahipara,NZ,1609612866,-35.17,173.17,63.73,63.73,87,94,3.13
207,Kirovskiy,RU,1609612867,45.09,133.51,-13.41,-13.41,87,50,2.68
208,Manakara,MG,1609612869,-22.13,48.02,76.05,76.05,83,7,5.68
209,Dauphin,CA,1609612870,51.15,-100.05,34.97,34.97,85,100,8.81
210,Saint George,US,1609612871,37.1,-113.58,35.6,35.6,51,1,3.36
211,Coquimbo,CL,1609612702,-29.95,-71.34,66.2,66.2,68,75,12.75
212,Ust-Nera,RU,1609612873,64.57,143.2,-30.68,-30.68,74,76,3.18
213,Coyhaique,CL,1609612875,-45.58,-72.07,64.4,64.4,63,90,6.93
214,Ust'-Koksa,RU,1609612876,50.27,85.61,-12.68,-12.68,80,96,0.83
215,Belmonte,BR,1609612877,-15.86,-38.88,82.89,84.2,83,75,10.29
216,Luís Correia,BR,1609612878,-2.88,-41.67,89.6,89.6,62,20,16.11
217,Ishigaki,JP,1609612881,24.34,124.16,66.67,66.67,75,100,18.16
218,Cabatuan,PH,1609612883,10.88,122.49,75.47,75.47,91,99,10.74
219,Maceió,BR,1609612715,-9.67,-35.74,86.0,86.0,58,20,10.29
220,Mayumba,GA,1609612887,-3.43,10.66,78.26,78.26,87,99,8.41
221,Vardø,NO,1609612888,70.37,31.11,30.49,30.49,96,99,10.25
222,Klaksvík,FO,1609612889,62.23,-6.59,32.0,32.0,78,24,3.04
223,Terrace Bay,CA,1609612890,48.78,-87.1,29.1,30.2,86,90,6.93
224,Ormara,PK,1609612891,25.21,64.64,66.42,66.42,28,0,5.82
225,Cap Malheureux,MU,1609612894,-19.98,57.61,77.0,77.0,73,10,8.01
226,Kaitangata,NZ,1609612895,-46.28,169.85,60.01,60.01,94,100,1.07
227,Umluj,SA,1609612896,25.02,37.27,74.61,74.61,70,0,7.9
228,Pandan,PH,1609612897,14.05,124.17,78.91,78.91,87,100,14.76
229,Ambositra,MG,1609612899,-20.52,47.25,62.55,62.55,94,67,4.65
230,Rawson,AR,1609612901,-43.3,-65.1,88.07,88.07,17,0,0.89
231,Buluang,PH,1609612902,13.31,123.34,75.88,75.88,91,100,3.85
232,Emba,KZ,1609612904,48.83,58.14,8.64,8.64,91,98,10.83
233,Fairbanks,US,1609612651,64.84,-147.72,-12.68,-11.99,69,75,2.84
234,Kavieng,PG,1609612908,-2.57,150.8,83.05,83.05,76,56,10.49
235,Palmer,US,1609612909,42.16,-72.33,43.25,46.4,70,75,14.99
236,Merritt,CA,1609612913,50.11,-120.79,42.22,42.8,87,90,25.28
237,Sur,OM,1609612774,22.57,59.53,68.68,68.68,56,0,12.39
238,Carmelo,UY,1609612915,-33.99,-58.29,89.35,91.4,46,0,10.29
239,Itarema,BR,1609612916,-2.92,-39.92,85.1,85.1,61,0,17.76
240,Arraial do Cabo,BR,1609612793,-22.97,-42.03,76.28,77.0,88,75,6.93
241,Goderich,CA,1609612919,43.75,-81.72,35.6,35.6,80,0,3.36
242,Santa Cruz de la Sierra,BO,1609612920,-17.8,-63.17,88.48,89.6,62,75,9.17
243,Sechura,PE,1609612921,-5.56,-80.82,82.27,82.27,46,60,11.16
244,Iberia,US,1609612922,29.95,-91.75,48.47,48.99,70,90,9.17
245,Lavumisa,SZ,1609612923,-27.31,31.89,66.45,66.45,78,100,3.29
246,Kruisfontein,ZA,1609612925,-34.0,24.73,69.01,69.01,77,2,5.99
247,Alabaster,US,1609612926,33.24,-86.82,56.43,59.0,62,90,5.82
248,Novaya Igirma,RU,1609612927,57.13,103.91,-21.28,-21.28,86,99,4.38
249,Okhotsk,RU,1609612928,59.38,143.3,-18.63,-18.63,76,50,19.82
250,Novosheshminsk,RU,1609612929,55.07,51.23,13.77,13.77,95,100,13.15
251,Havøysund,NO,1609612931,71.0,24.66,26.6,26.6,86,75,5.82
252,Batangafo,CF,1609612932,7.3,18.28,81.03,81.03,21,100,3.51
253,Shenjiamen,CN,1609612841,29.96,122.3,48.7,48.7,62,61,9.53
254,Pindobaçu,BR,1609612934,-10.74,-40.36,92.59,92.59,32,100,6.22
255,Champasak,LA,1609612935,14.75,106.0,63.88,63.88,80,0,0.54
256,Nemuro,JP,1609612937,43.32,145.57,20.97,20.97,81,0,16.55
257,Petropavlovsk-Kamchatskiy,RU,1609612938,53.05,158.65,-2.2,-2.2,77,29,4.47
258,Baykit,RU,1609612939,61.67,96.37,-12.62,-12.62,84,100,5.66
259,Bathsheba,BB,1609612940,13.22,-59.52,82.4,82.4,58,20,26.4
260,Diapaga,BF,1609612941,12.07,1.79,82.85,82.85,15,0,3.18
261,Marawi,PH,1609612944,8.0,124.29,75.0,75.0,93,100,1.99
262,Erzin,TR,1609612945,36.96,36.2,60.01,60.01,61,1,7.0
263,Camargo,MX,1609612946,27.67,-105.17,51.44,51.44,42,0,2.17
264,Sinnamary,GF,1609612947,5.38,-52.95,79.39,79.39,85,100,12.21
265,Qaanaaq,GL,1609612801,77.48,-69.36,-1.52,-1.52,77,0,5.86
266,Pangody,RU,1609612951,65.85,74.49,-30.24,-30.24,81,0,9.62
267,Ugoofaaru,MV,1609612952,5.67,73.0,81.73,81.73,78,100,12.73
268,Saint-Pierre,RE,1609612953,-21.34,55.48,72.88,77.0,69,0,19.46
269,Malbork,PL,1609612954,54.04,19.03,30.31,30.99,100,100,3.02
270,Richards Bay,ZA,1609612956,-28.78,32.04,68.18,68.18,80,98,3.58
271,Mandiana,GN,1609612957,10.63,-8.68,84.16,84.16,21,0,3.78
272,Östersund,SE,1609612805,63.18,14.64,26.6,26.6,92,27,8.05
273,Lata,PT,1609612773,40.16,-8.33,43.27,46.99,82,0,1.01
274,Daru,PG,1609612960,-9.08,143.21,78.4,78.4,83,66,4.45
275,Vila do Maio,CV,1609612962,15.13,-23.22,78.8,78.8,61,20,17.22
